user_id,name,email,phone,aadhaar,age,gender,category,state,occupation,annual_income,disability,is_minority
U00001,Deepa Nair,user1@example.com,9760815342,7962-3419-6465,46,Female,SC,Maharashtra,Government Employee,379400,Yes,No
U00002,Karthik Das,user2@example.com,9337929111,5445-9981-4615,59,Male,OBC,Maharashtra,Private Employee,564386,Yes,No
U00003,Anita Rao,user3@example.com,9507204129,7488-2010-9187,34,Female,OBC,Andhra Pradesh,Student,440426,No,Yes
U00004,Karthik Iyer,user4@example.com,9254351852,1380-4104-1682,48,Male,SC,Telangana,Unemployed,399891,No,No
U00005,Vijay Rao,user5@example.com,9381537981,5601-2956-2205,54,Female,SC,Karnataka,Farmer,271887,No,No
U00006,Rahul Sharma,user6@example.com,9340686435,7101-6523-8862,50,Male,ST,Andhra Pradesh,Government Employee,369547,Yes,No
U00007,Karthik Singh,user7@example.com,9523222160,1773-3057-9486,18,Female,SC,Telangana,Government Employee,512850,Yes,No
U00008,Suresh Singh,user8@example.com,9513738894,9979-2498-3370,26,Female,General,Maharashtra,Private Employee,206892,No,No
U00009,Lakshmi Nair,user9@example.com,9139242525,4514-3870-9749,28,Female,General,Karnataka,Senior Citizen,95382,Yes,No
U00010,Karthik Sharma,user10@example.com,9595405267,3536-2965-3099,37,Female,ST,Maharashtra,Unemployed,577983,Yes,No
U00011,Karthik Kumar,user11@example.com,9784373678,6425-4874-1407,20,Male,General,Andhra Pradesh,Unemployed,495477,Yes,Yes
U00012,Lakshmi Patel,user12@example.com,9998345489,2135-6760-5312,45,Male,ST,Andhra Pradesh,Government Employee,295491,No,Yes
U00013,Suresh Sharma,user13@example.com,9243026797,1042-3802-7288,45,Male,OBC,Andhra Pradesh,Unemployed,288908,Yes,Yes
U00014,Arun Patel,user14@example.com,9505829337,7292-8188-5401,48,Male,OBC,Maharashtra,Student,124134,Yes,Yes
U00015,Suresh Kumar,user15@example.com,9177601614,9790-5637-5235,45,Female,OBC,Telangana,Private Employee,516523,No,No
U00016,Anita Sharma,user16@example.com,9954602142,6998-9709-3979,59,Male,SC,Andhra Pradesh,Farmer,225230,Yes,No
U00017,Lakshmi Kumar,user17@example.com,9457499883,4787-6030-8697,66,Male,ST,Kerala,Senior Citizen,440741,No,No
U00018,Arun Das,user18@example.com,9216571154,9404-4757-7669,78,Female,General,Kerala,Student,574733,No,Yes
U00019,Rahul Singh,user19@example.com,9726187234,7676-4297-2994,22,Female,General,Maharashtra,Private Employee,547725,Yes,No
U00020,Rahul Sharma,user20@example.com,9813865361,9919-9687-1049,51,Female,OBC,Karnataka,Private Employee,192371,Yes,No
U00021,Karthik Nair,user21@example.com,9408070268,4045-6810-9962,53,Male,SC,Andhra Pradesh,Government Employee,225014,No,Yes
U00022,Lakshmi Nair,user22@example.com,9963950986,7327-5812-5749,27,Female,OBC,Kerala,Student,351219,Yes,No
U00023,Vijay Rao,user23@example.com,9915992946,7458-5218-3257,30,Male,General,Karnataka,Farmer,317700,No,No
U00024,Ravi Sharma,user24@example.com,9325895192,3445-8414-8277,73,Male,ST,Andhra Pradesh,Government Employee,302410,No,Yes
U00025,Lakshmi Das,user25@example.com,9123383294,9633-3110-1701,54,Male,ST,Kerala,Private Employee,87571,Yes,No
U00026,Vijay Rao,user26@example.com,9970725651,9874-1808-8987,63,Female,SC,Maharashtra,Farmer,569234,No,Yes
U00027,Suresh Rao,user27@example.com,9688049199,3115-7703-7905,51,Female,General,Tamil Nadu,Senior Citizen,263866,Yes,No
U00028,Priya Singh,user28@example.com,9865766446,9538-5935-7349,28,Male,OBC,Andhra Pradesh,Government Employee,492284,No,Yes
U00029,Ravi Sharma,user29@example.com,9329731293,4133-7517-6163,49,Female,SC,Telangana,Government Employee,58014,Yes,Yes
U00030,Vijay Kumar,user30@example.com,9475248847,6948-1979-8477,29,Male,ST,Tamil Nadu,Government Employee,118505,No,Yes
U00031,Arun Rao,user31@example.com,9382275754,8419-7712-8447,73,Male,OBC,Telangana,Government Employee,200506,No,Yes
U00032,Karthik Sharma,user32@example.com,9851169114,1392-9279-4293,47,Male,ST,Kerala,Student,508617,No,Yes
U00033,Anita Kumar,user33@example.com,9592337225,7918-2211-9204,76,Female,General,Kerala,Farmer,189209,No,Yes
U00034,Anita Patel,user34@example.com,9452934931,9327-7542-2199,54,Male,General,Telangana,Private Employee,165257,Yes,Yes
U00035,Lakshmi Kumar,user35@example.com,9736618297,1188-5838-2558,47,Female,General,Kerala,Unemployed,546692,Yes,Yes
U00036,Arun Das,user36@example.com,9806068707,8740-5452-5116,26,Female,General,Andhra Pradesh,Unemployed,331176,Yes,No
U00037,Deepa Singh,user37@example.com,9593306948,8147-4244-7130,60,Female,OBC,Maharashtra,Unemployed,145859,No,Yes
U00038,Lakshmi Singh,user38@example.com,9664434077,2739-2362-1988,20,Female,OBC,Andhra Pradesh,Senior Citizen,319903,Yes,Yes
U00039,Suresh Sharma,user39@example.com,9780657690,4331-5657-6796,35,Female,OBC,Kerala,Unemployed,344479,Yes,Yes
U00040,Suresh Sharma,user40@example.com,9639566825,5310-9341-9318,74,Male,ST,Maharashtra,Government Employee,118050,No,Yes
U00041,Ravi Sharma,user41@example.com,9173583340,3072-3819-4423,78,Male,OBC,Tamil Nadu,Senior Citizen,369865,No,No
U00042,Vijay Rao,user42@example.com,9988674820,4408-1399-4748,19,Female,SC,Tamil Nadu,Government Employee,233016,No,No
U00043,Anita Iyer,user43@example.com,9472137862,4966-2220-3000,63,Female,SC,Telangana,Farmer,524724,Yes,No
U00044,Rahul Iyer,user44@example.com,9289436456,2120-3802-7765,64,Female,SC,Karnataka,Student,268616,No,No
U00045,Karthik Singh,user45@example.com,9777489832,5863-4902-2727,62,Male,General,Andhra Pradesh,Farmer,329804,No,Yes
